image,expected_plates,predicted_plates,note
0527aca894fb18f74e991c0ac9365466.jpg,京E7654Z;京K9134J;
0c48c2b215b308b3af905093bc9343c9.jpg,京EC4682Y,
1ea55a394420ab42aaf7abe2e09fe168.jpg,京K9134J;京E7654Z;京H7912N,
27d5fbb8e1380aca0ab786a1e759c834.jpg,京H7912N,
34afbf66a7dfb5b18ae64bc48de0da07.jpg,京E4682Y,
37ffbe5556295e7efc5752647af4141d.jpg,京B6789T,
39ccc8c9b27111a500655b94e3b5aa5c.jpg,京K9134J,京K9134J,
3f1758fd875278cda0aeaccb8ada0a75.jpg,京K9134J,
4cf3359fd32dd4107ef32e67d822b3a5.jpg,京E4682Y,,
4e3c157b60f0c8b23c0b6386d48e8410.jpg,京K9134J;京E7654Z,
5a991ab212181a8ca33a76403d93c1cb.jpg,京H7912N,
60652cca26eeb976ff46de385fac3cd5.jpg,京K9134J,
69ba6ac3c61ffc361ba3b9b2127edb61.jpg,京H7912N,
6dc024eb11a6dc52c7efba2490d5c6df.jpg,京E4682Y,
6f086032991adda6bf95c47af119f914.jpg,京E4682Y,
7314ab24560c5143052fc836e36bf225.png,京E7654Z;京K9134J,
84459c449ee661d9dd2709e5ba97c27d.jpg,京E4682Y,
8df3f19b10bd0e7cbff9f3f016d62f24.jpg,京E4682Y,
90cfed852a2cf9516db115ff5a8df173.jpg,京B6789T,
9290c856b0694b50e327d09f2bfb1238.jpg,京B6789T,
a220d350e4e6291b7d1141ff804618bd.jpg,京E4682Y,,
a7067c5af15a4029ee2068f1a562b7a6.jpg,京K9134J,
ace874f0687a85708599301a51e56548.jpg,京E4682Y,,
ad1a12f315759f00d4eaf8f4208c943d.jpg,京K9134J,,,
b8b9a0efb942cb6384491306e7498603.jpg,京K9134J;京E7654Z,
bf4c5277dafb5d2f7aa17a6cab325aca.jpg,京E4682Y,
c859b489211a80d10355fa60fe936646.jpg,京E4682Y;京B6789T,
d28fe0f0c75bfb5d2b0db1ac8daa85d2.jpg,京E4682Y;京B6789T,
d46c05e00ef628b2016685e96fa00447.jpg,京E4682Y,,
d7c37ea17323e208cc2eef3597ae2c01.jpg,京K9134J,,,
d7d68544ab076a339a5fb3592cf9bb59.png,京E4682Y,
dd0bdb9465bc21e6ebc8a1268b253d6a.jpg,京B6789T,
e1b6501d06ae2c5dd7aba77ea094cbe9.jpg,京B6789T,
e6c4923efdce7b59a97e130a0e92dde0.jpg,京E4682Y,
ea0658495f9df803e11a45564749bad7.jpg,京E7654Z;京K9134J,,,
ee2da9c33951bfc5ef471ea7e7bf4cba.jpg,京E4682Y,,
efa46faed823e87ba13f03320393445c.jpg,京B6789T,,
f539bfe70707330615bfe8f97f97256a.jpg,京K9134J;京E7654Z,
