image,expected_plates,predicted_plates,false_positives,closest_mismatches
1ea55a394420ab42aaf7abe2e09fe168.jpg,京K9134J;京E7654Z;京H7912N,京K9134J;粤E7654Z;京H7912N,,京E7654Z->粤E7654Z
27d5fbb8e1380aca0ab786a1e759c834.jpg,京H7912N,黑H7912N,,京H7912N->黑H7912N
37ffbe5556295e7efc5752647af4141d.jpg,京B6789T,京B67891,,京B6789T->京B67891
3f1758fd875278cda0aeaccb8ada0a75.jpg,京K9134J,晋E4682Y;京B6789T,晋E4682Y,京K9134J->京B6789T
4e3c157b60f0c8b23c0b6386d48e8410.jpg,京K9134J;京E7654Z,京K9134J;冀E7654Z,,京E7654Z->冀E7654Z
69ba6ac3c61ffc361ba3b9b2127edb61.jpg,京H7912N,京HD7912N,,京H7912N->京HD7912N
6f086032991adda6bf95c47af119f914.jpg,京E4682Y,京EC4682Y,,京E4682Y->京EC4682Y
7314ab24560c5143052fc836e36bf225.png,京E7654Z;京K9134J,粤E7654Z;京K9134J,,京E7654Z->粤E7654Z
90cfed852a2cf9516db115ff5a8df173.jpg,京B6789T,粤B6789T1,,京B6789T->粤B6789T1
9290c856b0694b50e327d09f2bfb1238.jpg,京B6789T,京BD67891,,京B6789T->京BD67891
a220d350e4e6291b7d1141ff804618bd.jpg,京E4682Y,,,京E4682Y->
b8b9a0efb942cb6384491306e7498603.jpg,京K9134J;京E7654Z,京K9134J;粤E7654Z,,京E7654Z->粤E7654Z
c859b489211a80d10355fa60fe936646.jpg,京E4682Y;京B6789T,鄂E4682Y;鲁B6789T1,,京E4682Y->鄂E4682Y;京B6789T->鲁B6789T1
d28fe0f0c75bfb5d2b0db1ac8daa85d2.jpg,京E4682Y;京B6789T,京E4682Y;京B67891,,京B6789T->京B67891
d46c05e00ef628b2016685e96fa00447.jpg,京E4682Y,京E64682Y,,京E4682Y->京E64682Y
d7d68544ab076a339a5fb3592cf9bb59.png,京E4682Y,晋E4682Y0,,京E4682Y->晋E4682Y0
e6c4923efdce7b59a97e130a0e92dde0.jpg,京E4682Y,晋E4682Y,,京E4682Y->晋E4682Y
f539bfe70707330615bfe8f97f97256a.jpg,京K9134J;京E7654Z,浙K9134J;京E76542Z,,京K9134J->浙K9134J;京E7654Z->京E76542Z
